A1PP;A1Blok;A1Condition;A1timestamp;A1SnMouseAct;A1SnLeftClicked;A1SnRightClicked;A1SnDoubleClicked;A1SnWheel;A1SnDragged;A1SnMouseDistance;A1SnKeyStrokes;A1SnChars;A1SnSpecialKeys;A1SnDirectionKeys;A1SnErrorKeys;A1SnShortcutKeys;A1SnSpaces;A1SnAppChange;A1SnTabfocusChange;A2Blok;A2SnMouseAct;A2SnLeftClicked;A2SnRightClicked;A2SnDoubleClicked;A2SnWheel;A2SnDragged;A2SnMouseDistance;A2SnKeyStrokes;A2SnChars;A2SnSpecialKeys;A2SnDirectionKeys;A2SnErrorKeys;A2SnShortcutKeys;A2SnSpaces;A2SnAppChange;A2SnTabfocusChange;B1Blok;B1Squality;B1Sneutral;B1Shappy;B1Ssad;B1Sangry;B1Ssurprised;B1Sscared;B1Sdisgusted;B1Svalence;B1SyHeadOrientation;B1SxHeadOrientation;B1SzHeadOrientation;B1SmouthOpen;B1SleftEyeClosed;B1SrightEyeClosed;B1SleftEyebrowLowered;B1SleftEyebrowRaised;B1SrightEyebrowLowered;B1SrightEyebrowRaised;B1SgazeDirectionForward;B1SgazeDirectionLeft;B1SgazeDirectionRight;B1SAu01_InnerBrowRaiser;B1SAu02_OuterBrowRaiser;B1SAu04_BrowLowerer;B1SAu05_UpperLidRaiser;B1SAu06_CheekRaiser;B1SAu07_LidTightener;B1SAu09_NoseWrinkler;B1SAu10_UpperLipRaiser;B1SAu12_LipCornerPuller;B1SAu14_Dimpler;B1SAu15_LipCornerDepressor;B1SAu17_ChinRaiser;B1SAu20_LipStretcher;B1SAu23_LipTightener;B1SAu24_LipPressor;B1SAu25_LipsPart;B1SAu26_JawDrop;B1SAu27_MouthStretch;B1SAu43_EyesClosed;B2C;B2Squality;B2Sneutral;B2Shappy;B2Ssad;B2Sangry;B2Ssurprised;B2Sscared;B2Sdisgusted;B2Svalence;B2SyHeadOrientation;B2SxHeadOrientation;B2SzHeadOrientation;B2SmouthOpen;B2SleftEyeClosed;B2SrightEyeClosed;B2SleftEyebrowLowered;B2SleftEyebrowRaised;B2SrightEyebrowLowered;B2SrightEyebrowRaised;B2SgazeDirectionForward;B2SgazeDirectionLeft;B2SgazeDirectionRight;B2SAu01_InnerBrowRaiser;B2SAu02_OuterBrowRaiser;B2SAu04_BrowLowerer;B2SAu05_UpperLidRaiser;B2SAu06_CheekRaiser;B2SAu07_LidTightener;B2SAu09_NoseWrinkler;B2SAu10_UpperLipRaiser;B2SAu12_LipCornerPuller;B2SAu14_Dimpler;B2SAu15_LipCornerDepressor;B2SAu17_ChinRaiser;B2SAu20_LipStretcher;B2SAu23_LipTightener;B2SAu24_LipPressor;B2SAu25_LipsPart;B2SAu26_JawDrop;B2SAu27_MouthStretch;B2SAu43_EyesClosed;DC;DHR;DRMSSD;DSCL
PP7;1;N;20121002T133500000;5;1;0;0;4;0;2,71E+15;0;0;0;0;0;0;0;0;1;1;5;1;0;0;4;0;2,71E+15;0;0;0;0;0;0;0;0;1;1;0,85646;0,60977;0,28876;0,00865;0,01844;0,00307;0,00015;0,01212;0,26270;1,27188;-2,49350;-8,70559;0,33908;0,01724;0,01149;0,01149;0,00000;0,03448;0,00000;0,75862;0,09770;0,01149;0,00000;0,09770;0,12069;0,00000;0,12644;0,12069;0,22989;0,00000;0,15517;0,43103;0,00000;1,94253;0,00000;0,52874;0,08046;0,83908;0,00575;1,15517;0,00000;1;0,85646;0,60977;0,28876;0,00865;0,01844;0,00307;0,00015;0,01210;0,26270;1,00000;-2,00000;-9,00000;0,33908;0,01724;0,01149;0,01149;0,00000;0,03448;0,00000;0,75862;0,09770;0,01149;0,00000;0,09770;0,12069;0,00000;0,12644;0,12069;0,22989;0,00000;0,15517;0,43103;0,00000;1,94253;0,00000;0,52874;0,08046;0,83908;0,00575;1,15517;0,00000;1;74;0,036519;229154371
PP19;3;R;20121019T161900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,87678;0,79661;0,03012;0,05551;0,00767;0,00574;0,00002;0,00071;-0,02599;-26,99459;-10,38887;-10,51497;0,04255;0,00000;0,00000;0,12766;0,11489;0,45532;0,00426;0,96170;0,00000;0,00426;0,00426;0,00000;0,02553;0,00426;0,00000;0,02979;0,00000;0,00426;0,00000;0,02128;0,00000;0,10213;0,00000;0,14468;0,02128;0,09362;0,00000;0,23830;0,00000;3;0,87678;0,79661;0,03012;0,05551;0,00767;0,00574;0,00001;0,00071;-0,02599;-26,99459;-10,38887;-10,51497;0,04255;0,00000;0,00000;0,12766;0,11489;0,45532;0,00426;0,96170;0,00000;0,00426;0,00426;0,00000;0,02553;0,00426;0,00000;0,02979;0,00000;0,00426;0,00000;0,02128;0,00000;0,10213;0,00000;0,14468;0,02128;0,09362;0,00000;0,23830;0,00000;3;74;0,05354;141137147
PP2;1;N;20120919T134600000;11;4;0;0;3;2;5,91E+14;21;9;12;0;3;2;3;0;0;1;11;4;0;0;3;2;5,91E+14;21;9;12;0;3;2;3;0;0;1;0,87956;0,80992;0,02426;0,02935;0,00624;0,00507;0,00579;0,00412;-0,00867;-17,47336;-3,18788;2,05391;0,02521;0,02101;0,00420;0,52521;0,00000;0,00000;0,62605;0,95378;0,01261;0,00000;0,00000;0,00000;0,03782;0,32353;0,05882;0,21849;0,01681;0,01261;0,00000;0,00000;0,00000;0,08403;0,00000;0,08403;0,00000;0,02941;0,00000;0,00000;0,07143;1;0,87956;0,80992;0,02426;0,02935;0,00624;0,00507;0,00579;0,00411;-0,00867;-17,47336;-3,18788;2,05391;0,02521;0,02101;0,00420;0,52521;0,00000;0,00000;0,62605;0,95378;0,01261;0,00000;0,00000;0,00000;0,03782;0,32353;0,05882;0,21849;0,01681;0,01261;0,00000;0,00000;0,00000;0,08403;0,00000;0,08403;0,00000;0,02941;0,00000;0,00000;0,07143;1;74;0,037997;79930828
PP19;3;R;20121019T161500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,87959;0,51815;0,02176;0,12398;0,02515;0,00721;0,00003;0,01162;-0,10800;-20,85064;-7,19436;-5,36344;0,02511;0,00837;0,00000;0,26360;0,00418;0,90795;0,00000;0,92887;0,01674;0,00837;0,28870;0,00837;1,11297;0,15063;0,00000;0,53557;0,20084;0,85774;0,00000;0,43515;0,01255;0,48954;0,00000;0,92469;0,08368;0,02929;0,00418;0,05439;0,02092;3;0,87959;0,51815;0,02176;0,12398;0,02515;0,00721;0,00003;0,01162;-0,10800;-20,85064;-7,19436;-5,36344;0,02510;0,00837;0,00000;0,26360;0,00418;0,90795;0,00000;0,92887;0,01674;0,00837;0,28870;0,00837;1,11297;0,15063;0,00000;0,53556;0,20084;0,85774;0,00000;0,43515;0,01255;0,48954;0,00000;0,92469;0,08368;0,02929;0,00418;0,05439;0,02092;3;74;0,048993;132951007
PP7;1;N;20121002T133400000;11;8;0;3;0;0;6,77E+15;0;0;0;0;0;0;0;6;5;1;11;8;0;3;0;0;6,77E+15;0;0;0;0;0;0;0;6;5;1;0,87993;0,74877;0,13347;0,04839;0,00967;0,00617;0,00005;0,00761;0,07745;7,46318;1,46212;-10,11256;0,12319;0,02899;0,03623;0,00000;0,00000;0,02899;0,00000;0,91304;0,00000;0,01449;0,06522;0,09420;0,08696;0,02174;0,17391;0,00725;0,18116;0,06522;0,00000;0,39130;0,00000;2,78986;0,02899;1,46377;0,23913;0,20290;0,00000;0,36957;0,02174;1;0,87993;0,74877;0,13347;0,04839;0,00967;0,00617;0,00005;0,00761;0,07745;7,00000;1,00000;-10,00000;0,12319;0,02899;0,03623;0,00000;0,00000;0,02899;0,00000;0,91304;0,00000;0,01449;0,06522;0,09420;0,08696;0,02174;0,17391;0,00725;0,18116;0,06522;0,00000;0,39130;0,00000;2,78986;0,02899;1,46377;0,23913;0,20290;0,00000;0,36957;0,02174;1;74;0,033504;230101232
PP2;1;N;20120919T134300000;14;2;1;0;11;0;7,26E+15;84;58;26;0;15;0;11;2;1;1;14;2;1;0;11;0;7,26E+15;84;58;26;0;15;0;11;2;1;1;0,89467;0,84127;0,02422;0,03710;0,00451;0,01077;0,00499;0,00143;-0,01343;-12,64055;-1,70493;1,39132;0,02232;0,08036;0,02679;0,16071;0,00000;0,00000;0,73214;0,93304;0,00446;0,01339;0,00000;0,00000;0,02232;0,80804;0,00446;0,00000;0,00446;0,00446;0,00446;0,03571;0,00000;0,16964;0,00000;0,00893;0,00000;0,03571;0,05804;0,00000;0,23214;1;0,89467;0,84127;0,02422;0,03710;0,00451;0,01077;0,00499;0,00143;-0,01343;-12,64055;-1,70493;1,39132;0,02232;0,08036;0,02679;0,16071;0,00000;0,00000;0,73214;0,93304;0,00446;0,01339;0,00000;0,00000;0,02232;0,80804;0,00446;0,00000;0,00446;0,00446;0,00446;0,03571;0,00000;0,16964;0,00000;0,00893;0,00000;0,03571;0,05804;0,00000;0,23214;1;74;0,044637;83595097
PP18;1;N;20121019T095400000;0;0;0;0;0;0;0;126;63;63;11;26;0;15;0;0;0;0;0;0;0;0;0;0;126;63;63;11;26;0;15;0;0;1;0,89724;0,89948;0,01419;0,00156;0,16192;0,00445;0,00044;0,00849;-0,15403;-19,76775;-12,13489;1,83601;0,03896;0,05195;0,00866;0,22078;0,00433;0,06494;0,00000;0,39827;0,55844;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,05628;0,06061;0,15584;0,00000;0,08658;0,00000;0,00000;0,00000;0,01732;0,00000;0,06926;0,00000;0,00000;0,06061;1;0,89724;0,89948;0,01419;0,00156;0,16192;0,00445;0,00044;0,00849;-0,15403;-19,76775;-12,13489;1,83601;0,03896;0,05195;0,00866;0,22078;0,00433;0,06494;0,00000;0,39827;0,55844;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,05628;0,06061;0,15584;0,00000;0,08658;0,00000;0,00000;0,00000;0,01732;0,00000;0,06926;0,00000;0,00000;0,06061;1;74;0,037645;241531843
PP19;2;I;20121019T155600000;17;5;0;0;12;0;1,27E+16;41;25;16;0;5;0;6;5;0;0;17;5;0;0;12;0;1,27E+16;41;25;16;0;5;0;6;5;0;2;0,90107;0,52017;0,04799;0,11378;0,00762;0,00464;0,00016;0,02816;-0,07986;-12,00290;-6,92335;-2,41560;0,19111;0,03111;0,01778;0,11556;0,29778;0,17778;0,01778;0,90667;0,06222;0,00000;0,42667;0,06222;1,18222;0,00000;0,00444;0,89333;0,04889;0,19556;0,00000;0,85333;0,13778;1,21333;0,02222;0,96444;0,00000;0,48444;0,01333;0,01778;0,15111;2;0,90107;0,52017;0,04799;0,11378;0,00762;0,00464;0,00016;0,02816;-0,07986;-12,00290;-6,92335;-2,41560;0,19111;0,03111;0,01778;0,11556;0,29778;0,17778;0,01778;0,90667;0,06222;0,00000;0,42667;0,06222;1,18222;0,00000;0,00444;0,89333;0,04889;0,19556;0,00000;0,85333;0,13778;1,21333;0,02222;0,96444;0,00000;0,48444;0,01333;0,01778;0,15111;2;74;0,03365;158199402
PP1;1;N;20120918T132700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,90447;0,88937;0,05758;0,02912;0,01638;0,00163;0,00025;0,00059;0,01791;-5,51187;-1,82920;2,15404;0,00000;0,13158;0,17544;0,80702;0,00000;0,47368;0,00000;0,83333;0,02632;0,03509;0,00000;0,00000;0,85088;0,00877;0,00000;0,00877;0,35088;0,09649;0,04386;0,14912;0,24561;0,25439;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,03509;1;0,90447;0,88937;0,05758;0,02912;0,01638;0,00163;0,00025;0,00059;0,01791;-6,00000;-2,00000;2,00000;0,00000;0,13158;0,17544;0,80702;0,00000;0,47368;0,00000;0,83333;0,02632;0,03509;0,00000;0,00000;0,85088;0,00877;0,00000;0,00877;0,35088;0,09649;0,04386;0,14912;0,24561;0,25439;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,03509;1;74;0,037915;67145289
PP19;3;R;20121019T161800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,90926;0,62283;0,02233;0,04640;0,07027;0,01382;0,00002;0,00273;-0,06404;-15,69115;-11,62939;-9,51028;0,02941;0,00000;0,00840;0,27311;0,03361;0,44118;0,00420;0,58824;0,30672;0,00000;0,02101;0,07983;0,00840;0,00420;0,00000;0,99580;0,09244;0,04622;0,00000;0,01261;0,00420;0,77731;0,00000;0,01261;0,76891;0,05882;0,00000;0,05882;0,10924;3;0,90926;0,62283;0,02233;0,04640;0,07027;0,01382;0,00002;0,00273;-0,06404;-15,69114;-11,62939;-9,51028;0,02941;0,00000;0,00840;0,27311;0,03361;0,44118;0,00420;0,58824;0,30672;0,00000;0,02101;0,07983;0,00840;0,00420;0,00000;0,99580;0,09244;0,04622;0,00000;0,01261;0,00420;0,77731;0,00000;0,01261;0,76891;0,05882;0,00000;0,05882;0,10924;3;74;0,042427;142220302
PP18;2;I;20121019T111500000;14;10;0;2;2;0;1,06E+16;47;12;35;25;1;5;3;8;4;0;14;10;0;2;2;0;1,06E+16;47;12;35;25;1;5;3;8;4;2;0,91061;0,90346;0,02318;0,00135;0,03756;0,00759;0,00039;0,00941;-0,02002;-16,00156;-12,29348;1,15117;0,09626;0,04813;0,08021;0,11765;0,04813;0,01604;0,00000;0,54011;0,36364;0,00535;0,00000;0,00000;0,03209;0,00000;0,00000;0,12300;0,00535;0,11230;0,00000;0,01070;0,00000;0,00000;0,02139;0,00000;0,00000;0,13904;0,10695;0,00000;0,11230;2;0,91061;0,90346;0,02318;0,00135;0,03756;0,00759;0,00039;0,00941;-0,02002;-16,00156;-12,29348;1,15117;0,09626;0,04813;0,08021;0,11765;0,04813;0,01604;0,00000;0,54011;0,36364;0,00535;0,00000;0,00000;0,03209;0,00000;0,00000;0,12299;0,00535;0,11230;0,00000;0,01070;0,00000;0,00000;0,02139;0,00000;0,00000;0,13904;0,10695;0,00000;0,11230;2;74;0,041162;177522317
PP20;3;I;20121029T152800000;17;13;0;0;2;1;1,16E+15;43;19;24;0;3;0;5;5;1;0;17;13;0;0;2;1;1,16E+15;43;19;24;0;3;0;5;5;1;3;0,91166;0,79340;0,01700;0,02192;0,00944;0,12443;0,02171;0,00402;-0,01476;-5,59040;-5,68598;-1,95965;0,46222;0,27111;0,19111;0,12000;0,24889;0,09778;0,00000;0,72444;0,10667;0,00444;0,00000;0,06222;0,35111;0,04000;0,00000;0,00000;0,07111;0,03556;0,00000;0,07111;0,00000;0,03111;0,25333;0,00444;0,00000;1,38222;0,28444;0,00000;0,77333;3;0,91166;0,79340;0,01700;0,02192;0,00944;0,12443;0,02171;0,00402;-0,01476;-5,59040;-5,68598;-1,95965;0,46222;0,27111;0,19111;0,12000;0,24889;0,09778;0,00000;0,72444;0,10667;0,00444;0,00000;0,06222;0,35111;0,04000;0,00000;0,00000;0,07111;0,03556;0,00000;0,07111;0,00000;0,03111;0,25333;0,00444;0,00000;1,38222;0,28444;0,00000;0,77333;3;74;0,044415;152559177
PP14;1;R;20121010T131800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,91280;0,95282;0,03036;0,00533;0,02605;0,02427;0,00001;0,01407;0,00178;-21,63028;-2,00036;-1,94843;0,00000;0,00000;0,00833;0,36667;0,00000;0,54167;0,00000;0,85417;0,03333;0,00000;0,00000;0,00000;0,01250;0,00000;0,45000;1,40000;0,00000;0,22500;0,00000;0,02083;0,02500;0,06667;0,00833;0,00833;0,00000;0,00000;0,20833;0,00000;0,00417;1;0,91280;0,95281;0,03036;0,00533;0,02605;0,02427;0,00001;0,01407;0,00178;-21,63028;-2,00036;-1,94843;0,00000;0,00000;0,00833;0,36667;0,00000;0,54167;0,00000;0,85417;0,03333;0,00000;0,00000;0,00000;0,01250;0,00000;0,45000;1,40000;0,00000;0,22500;0,00000;0,02083;0,02500;0,06667;0,00833;0,00833;0,00000;0,00000;0,20833;0,00000;0,00417;1;74;0,027564;152459945
PP20;2;R;20121029T142200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,91721;0,96077;0,00509;0,00259;0,01162;0,00290;0,00300;0,00017;-0,00664;-19,50067;-5,02518;-8,13777;0,00000;0,05858;0,00000;0,02092;0,05858;0,00000;0,00000;0,97071;0,00000;0,00000;0,00000;0,00000;0,00000;0,14644;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00418;0,00000;0,00000;0,00000;0,00000;0,00418;2;0,91721;0,96077;0,00509;0,00259;0,01162;0,00290;0,00300;0,00017;-0,00664;-19,50067;-5,02518;-8,13777;0,00000;0,05858;0,00000;0,02092;0,05858;0,00000;0,00000;0,97071;0,00000;0,00000;0,00000;0,00000;0,00000;0,14644;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00418;0,00000;0,00000;0,00000;0,00000;0,00418;2;74;0,038246;234622676
PP18;2;I;20121019T104800000;0;0;0;0;0;0;0;65;39;26;1;4;1;12;4;0;0;0;0;0;0;0;0;0;65;39;26;1;4;1;12;4;0;2;0,92001;0,93336;0,00614;0,00177;0,04178;0,00787;0,00016;0,01378;-0,04740;-19,21684;-12,62619;6,61520;0,00000;0,00000;0,00521;0,17708;0,00000;0,04167;0,00000;0,19271;0,76563;0,00000;0,00000;0,00000;0,00521;0,00000;0,00000;0,06771;0,03646;0,10417;0,00000;0,00000;0,01042;0,00521;0,09375;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;0,92001;0,93336;0,00614;0,00177;0,04178;0,00787;0,00016;0,01378;-0,04740;-19,21683;-12,62619;6,61520;0,00000;0,00000;0,00521;0,17708;0,00000;0,04167;0,00000;0,19271;0,76563;0,00000;0,00000;0,00000;0,00521;0,00000;0,00000;0,06771;0,03646;0,10417;0,00000;0,00000;0,01042;0,00521;0,09375;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;74;0,044938;201253124
PP12;2;I;20121009T164100000;33;16;1;0;6;5;1,71E+16;87;51;36;0;15;0;15;4;3;0;33;16;1;0;6;5;1,71E+16;87;51;36;0;15;0;15;4;3;2;0,92785;0,72727;0,01391;0,04421;0,02037;0,13955;0,00129;0,02232;-0,05902;-3,55897;-9,29930;-2,63230;0,66667;0,14530;0,07692;0,14530;0,50000;0,00000;0,00000;0,78205;0,14530;0,02137;1,34615;0,81197;0,00000;0,11539;0,00427;0,00000;0,02137;0,05983;0,00000;0,00000;0,02137;0,11539;0,00000;0,00427;0,00000;1,73077;0,00427;0,00000;0,50855;2;0,92785;0,72727;0,01391;0,04421;0,02037;0,13955;0,00129;0,02232;-0,05902;-3,55897;-9,29930;-2,63230;0,66667;0,14530;0,07692;0,14530;0,50000;0,00000;0,00000;0,78205;0,14530;0,02137;1,34615;0,81197;0,00000;0,11538;0,00427;0,00000;0,02137;0,05983;0,00000;0,00000;0,02137;0,11538;0,00000;0,00427;0,00000;1,73077;0,00427;0,00000;0,50855;2;74;0,021076;482539697
PP18;2;I;20121019T110200000;16;11;0;0;1;2;9,52E+15;57;40;17;2;0;2;3;5;10;0;16;11;0;0;1;2;9,52E+15;57;40;17;2;0;2;3;5;10;2;0,93105;0,93034;0,02859;0,00137;0,01411;0,00760;0,00031;0,00284;0,01305;-22,07109;-10,97654;1,57841;0,02954;0,00000;0,00000;0,02954;0,02532;0,00844;0,01266;0,74262;0,22363;0,00000;0,03376;0,01688;0,00000;0,00422;0,00000;0,05063;0,05485;0,00844;0,00000;0,01688;0,00422;0,00000;0,00422;0,00000;0,00000;0,04219;0,00422;0,00000;0,02532;2;0,93105;0,93034;0,02859;0,00137;0,01411;0,00760;0,00031;0,00284;0,01305;-22,07109;-10,97654;1,57841;0,02954;0,00000;0,00000;0,02954;0,02532;0,00844;0,01266;0,74262;0,22363;0,00000;0,03376;0,01688;0,00000;0,00422;0,00000;0,05063;0,05485;0,00844;0,00000;0,01688;0,00422;0,00000;0,00422;0,00000;0,00000;0,04219;0,00422;0,00000;0,02532;2;74;0,049402;228843373
PP24;2;T;20121105T145400000;21;15;0;0;0;3;1,21E+16;62;33;29;0;3;1;10;9;0;0;21;15;0;0;0;3;1,21E+16;62;33;29;0;3;1;10;9;0;2;0,93276;0,87982;0,01805;0,01265;0,06110;0,12345;0,00007;0,00128;-0,04505;-11,32072;-4,96440;-5,47332;0,43333;0,24167;0,07500;0,16250;0,03333;0,00000;0,00417;0,75833;0,13333;0,02500;0,09583;0,00000;0,00417;0,00000;0,04583;0,06667;0,01667;0,03750;0,00000;0,69167;0,00833;0,00000;0,00000;0,00000;0,00000;0,90833;0,19583;0,00000;0,00000;2;0,93276;0,87982;0,01805;0,01265;0,06110;0,12345;0,00007;0,00128;-0,04505;-11,32072;-4,96440;-5,47332;0,43333;0,24167;0,07500;0,16250;0,03333;0,00000;0,00417;0,75833;0,13333;0,02500;0,09583;0,00000;0,00417;0,00000;0,04583;0,06667;0,01667;0,03750;0,00000;0,69167;0,00833;0,00000;0,00000;0,00000;0,00000;0,90833;0,19583;0,00000;0,00000;2;74;0,0461;214826348
PP7;2;T;20121002T143900000;5;2;0;0;1;1;4,08E+15;142;91;51;0;28;0;18;2;0;2;5;2;0;0;1;1;4,08E+15;142;91;51;0;28;0;18;2;0;2;0,93383;0,87577;0,03878;0,02835;0,01198;0,02197;0,00027;0,01161;-0,00411;9,36896;-11,08841;-9,13554;0,05357;0,24554;0,17857;0,00000;0,00000;0,00000;0,00000;0,44643;0,36161;0,02679;0,00000;0,00000;0,00446;0,20536;0,00000;0,06696;0,00000;0,04464;0,13839;0,00893;0,00000;0,06250;0,00000;1,54464;0,08929;0,11161;0,00446;0,00000;0,45982;2;0,93383;0,87577;0,03878;0,02835;0,01198;0,02197;0,00027;0,01161;-0,00411;9,36896;-11,08841;-9,13554;0,05357;0,24554;0,17857;0,00000;0,00000;0,00000;0,00000;0,44643;0,36161;0,02679;0,00000;0,00000;0,00446;0,20536;0,00000;0,06696;0,00000;0,04464;0,13839;0,00893;0,00000;0,06250;0,00000;1,54464;0,08929;0,11161;0,00446;0,00000;0,45982;2;74;0,042529;137987973
PP20;3;I;20121029T155000000;8;5;0;0;3;0;5,01E+15;107;77;30;0;8;0;17;2;4;0;8;5;0;0;3;0;5,01E+15;107;77;30;0;8;0;17;2;4;3;0,93425;0,78769;0,00437;0,01807;0,01055;0,12052;0,01593;0,00846;-0,02396;-7,09215;-3,99216;-1,31478;0,72414;0,26724;0,21552;0,28448;0,03017;0,09052;0,00000;0,78448;0,05172;0,00431;0,00000;0,00000;0,92672;0,00431;0,00000;0,00000;0,00000;0,00000;0,00000;0,00431;0,02155;0,00000;0,02155;0,00000;0,00000;2,43535;0,84483;0,00000;1,08621;3;0,93425;0,78769;0,00437;0,01807;0,01054;0,12051;0,01593;0,00846;-0,02396;-7,09215;-3,99216;-1,31478;0,72414;0,26724;0,21552;0,28448;0,03017;0,09052;0,00000;0,78448;0,05172;0,00431;0,00000;0,00000;0,92672;0,00431;0,00000;0,00000;0,00000;0,00000;0,00000;0,00431;0,02155;0,00000;0,02155;0,00000;0,00000;2,43534;0,84483;0,00000;1,08621;3;74;0,086015;169486645
PP7;3;I;20121002T155400000;27;15;0;1;3;4;2,24E+16;0;0;0;0;0;0;0;4;0;3;27;15;0;1;3;4;2,24E+16;0;0;0;0;0;0;0;4;0;3;0,93540;0,88842;0,02228;0,04005;0,00793;0,07892;0,00027;0,00220;-0,02255;9,54930;-12,97601;-7,44541;0,14286;0,14286;0,09184;0,00510;0,00510;0,01531;0,00000;0,26531;0,63265;0,00000;0,00510;0,03571;0,00000;0,09694;0,01531;0,07653;0,04592;0,00000;0,04082;0,05102;0,01020;0,04592;0,00000;2,05612;0,02041;0,30612;0,05102;0,04082;0,31122;3;0,93540;0,88842;0,02227;0,04005;0,00793;0,07892;0,00027;0,00219;-0,02255;9,54930;-12,97601;-7,44541;0,14286;0,14286;0,09184;0,00510;0,00510;0,01531;0,00000;0,26531;0,63265;0,00000;0,00510;0,03571;0,00000;0,09694;0,01531;0,07653;0,04592;0,00000;0,04082;0,05102;0,01020;0,04592;0,00000;2,05612;0,02041;0,30612;0,05102;0,04082;0,31122;3;74;0,039104;161629015
PP23;3;R;20121101T155100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,93655;0,82532;0,00397;0,16827;0,01666;0,19335;0,00031;0,00618;-0,16820;-7,21320;-6,42540;2,60562;0,10417;0,64583;0,59583;0,00833;0,06667;0,00000;0,08750;0,66667;0,03750;0,10000;0,92917;0,95833;0,00000;0,20417;0,00000;0,01250;0,00833;0,00000;0,15833;0,00000;0,00000;0,00000;0,03750;0,35000;0,00000;0,15417;0,01250;0,00000;2,13333;1;0,93655;0,82532;0,00397;0,16827;0,01666;0,19335;0,00031;0,00618;-0,16820;-7,21319;-6,42540;2,60562;0,10417;0,64583;0,59583;0,00833;0,06667;0,00000;0,08750;0,66667;0,03750;0,10000;0,92917;0,95833;0,00000;0,20417;0,00000;0,01250;0,00833;0,00000;0,15833;0,00000;0,00000;0,00000;0,03750;0,35000;0,00000;0,15417;0,01250;0,00000;2,13333;1;74;0,037284;NaN
PP17;2;T;20121017T151100000;4;3;1;0;0;0;2,51E+16;109;86;23;0;1;0;17;3;2;0;4;3;1;0;0;0;2,51E+16;109;86;23;0;1;0;17;3;2;2;0,93681;0,67316;0,00130;0,04192;0,02555;0,01602;0,00071;0,02512;-0,05752;-13,55709;-1,85195;-3,75820;0,09623;0,02929;0,00837;0,39331;0,01674;0,84519;0,03766;0,82845;0,00000;0,04184;0,00000;0,34310;1,34728;0,00000;0,59414;1,74059;0,11716;0,39331;0,00000;0,00000;0,22176;0,29707;0,00000;0,08368;0,00000;0,20502;0,01674;0,11716;0,00000;2;0,93681;0,67316;0,00130;0,04192;0,02555;0,01602;0,00071;0,02512;-0,05752;-13,55709;-1,85195;-3,75820;0,09623;0,02929;0,00837;0,39331;0,01674;0,84519;0,03766;0,82845;0,00000;0,04184;0,00000;0,34310;1,34728;0,00000;0,59414;1,74059;0,11715;0,39331;0,00000;0,00000;0,22176;0,29707;0,00000;0,08368;0,00000;0,20502;0,01674;0,11715;0,00000;2;74;0,029213;298550772
PP17;1;R;20121017T132700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,93794;0,70622;0,03701;0,02230;0,01649;0,00302;0,00114;0,00740;0,00279;-20,19113;-4,46696;1,39961;0,12236;0,02532;0,00422;0,37975;0,15190;0,94093;0,00000;0,91139;0,01688;0,00844;0,00422;0,19409;0,12658;0,00000;2,81435;1,86076;0,08861;0,01266;0,05485;0,03798;0,09283;0,02110;0,01688;0,05063;0,00000;0,33755;0,00422;0,04641;0,00422;1;0,93794;0,70622;0,03701;0,02230;0,01649;0,00302;0,00114;0,00740;0,00279;-20,19113;-4,46696;1,39961;0,12236;0,02532;0,00422;0,37975;0,15190;0,94093;0,00000;0,91139;0,01688;0,00844;0,00422;0,19409;0,12658;0,00000;2,81435;1,86076;0,08861;0,01266;0,05485;0,03797;0,09283;0,02110;0,01688;0,05063;0,00000;0,33755;0,00422;0,04641;0,00422;1;74;0,024017;226210822
